artifact_id,artifact_type,output_path,output_sha256,source_paths,evidence_scope,developmental_qa_status,qualified_human_status
F1,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/F1_single_pass_end_to_end.png,cbda301171ad36cd0c73f53927f1f36b88940bc8525bb9fbb56228082a73043f,"docs/paper_artifacts/final/visuals_algorithms/F1_single_pass_end_to_end.mmd","Conceptual protocol flow; not empirical evidence",PARTIAL,WAITING_EXTERNAL
F2,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/F2_execution_assurance_lanes.png,52a38c33790fed76c3d67587c2d8ec57b34f6220a8fdb77fcba8f9ab11e7b17f,"docs/paper_artifacts/final/visuals_algorithms/F2_execution_assurance_lanes.mmd","Conceptual assurance lanes; confidential lane deferred",PARTIAL,WAITING_EXTERNAL
F4,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/F4_complete_architecture.png,3d8f5db5460655d4da490cb3cbbfbd040adf1c5bb4f160832d466360155bc6f6,"docs/paper_artifacts/final/visuals_algorithms/F4_complete_architecture.mmd","Conceptual architecture; deferred production layers labeled",PARTIAL,WAITING_EXTERNAL
F5,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F5_single_pass_cost.png,dcc0f5810974f04c3c8d413660400526e15b17c36d988246d4c090a948e7bdae,"publication/figures/F5_single_pass_cost.json|publication/tables/T6_single_pass_cost.csv|scripts/build_paper_figures.py","E1 fixed-order two-pair real-model pilot; INCONCLUSIVE",PARTIAL,WAITING_EXTERNAL
F6,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F6_audit_soundness.png,83e33635660f209a6a414b7d9992b3fef3ed1316fc241fc52ed30fb53e203035,"publication/figures/F6_audit_soundness.json|publication/tables/T7_execution_audit_security.csv|scripts/build_paper_figures.py","E2 four attacks plus one control; narrow and INCONCLUSIVE",PARTIAL,WAITING_EXTERNAL
F7,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F7_semantic_verification_quality.png,49341125f1f97973bdb2b7f48db116aa9306014074316a0cae30b901020056f0,"publication/figures/F7_semantic_verification_quality.svg|publication/tables/T8_semantic_verification.csv|publication/tables/T4_dataset_composition.json|results/publication/e3-confirmatory-real-20260824/verification_receipt.json|scripts/build_paper_figures.py","Externally attested E3 REAL_MODEL_EXECUTION; n=8, invalid n=2; FAR 0.500 exceeds alpha_sem 0.25; C3 NOT_SUPPORTED",PARTIAL,WAITING_EXTERNAL
F8,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F8_da_withholding.png,8213c85c444d603545643c5a648dfc53686457b675612faa46ac158952eed879,"publication/figures/F8_da_withholding.json|publication/tables/T9_data_availability.csv|scripts/build_paper_figures.py","E4 declared reproducible simulation; INCONCLUSIVE",PARTIAL,WAITING_EXTERNAL
F9,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F9_sybil_advantage.png,2ddf7a3f7d64a297eee633ebb0ad719be15c17a705d80f20e580d914a695e950,"publication/figures/F9_sybil_advantage.json|publication/tables/T11_sybil_security.csv|scripts/build_paper_figures.py","E6 frozen reproducible simulation only",PARTIAL,WAITING_EXTERNAL
F10,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F10_economic_security.png,9f138f405f5d382f668ef71aef775ac53f539b44066b7eb47420fba73eeffadc,"publication/figures/F10_economic_security.json|publication/tables/T11_sybil_security.csv|scripts/build_paper_figures.py","E6 modeled cost in frozen simulation; not market evidence",PARTIAL,WAITING_EXTERNAL
F11,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F11_consensus_dynamics.png,4f7d0afe7b9f7aeef86e3787773f383973f0f555f894eae110d570bb68e51576,"publication/figures/F11_consensus_dynamics.json|publication/tables/T13_consensus_safety.csv|scripts/build_paper_figures.py","E8 reproducible simulation only; INCONCLUSIVE",PARTIAL,WAITING_EXTERNAL
F12,FIGURE,docs/paper_artifacts/final/visuals_algorithms/rendered/quantitative/F12_evm_gas_state_scaling.png,cdcc750619def7116db0dc527d6c5151dde9660fd073df3bc7b900874096a5e7,"publication/figures/F12_evm_gas_state_scaling.json|publication/tables/T12_evm_boundedness.csv|scripts/build_paper_figures.py","E7 local Foundry measurements only",PARTIAL,WAITING_EXTERNAL
T1,TABLE,docs/paper_artifacts/final/tables/T1_protocol_objects_and_invariants.csv,1d4d8d78661241425f4d2efe09b08aa1dafb164c1605ba95accda2b4dcafbe4b,"docs/algorithms/A1_SPAI.md|docs/PAPER_ARTIFACT_MAP.md","Protocol objects and invariants; architecture disclosure",PASS,WAITING_EXTERNAL
T2,TABLE,docs/paper_artifacts/final/tables/T2_evidence_origin_rules.csv,a54c84f2db6b0c0f3eb70ed7d6be53b293525c33b0fb81ec110396f65fa0ee0e,"docs/RESULT_SCHEMA.md|publication/artifact_manifest.json","Evidence-origin interpretation rules",PASS,WAITING_EXTERNAL
T3,TABLE,docs/paper_artifacts/final/tables/T3_mpp_scope_and_deferred_scope.csv,2559f10004898d97e0188b91b057e4a4ba37c66d9db26dc48ef6deec35735b88,"docs/MAIN_RESULTS_TARGETS.md|docs/paper_artifacts/final/manuscript/POI_SUBMISSION_MANUSCRIPT.md","First-publication versus deferred scope",PASS,WAITING_EXTERNAL
T4,TABLE,docs/paper_artifacts/final/tables/T4_experiment_design_and_current_status.csv,344a52f2aafe293b72227287ab0f2daf53996e079a3744a1b56f676b559509dc,"publication/artifact_manifest.json|publication/tables/claim_matrix.json","E1-E8 design and current disposition",PASS,WAITING_EXTERNAL
T5,TABLE,docs/paper_artifacts/final/tables/T5_c7_evm_boundedness_current_surface.csv,e38884d0da5c4a478f4bfee328e424cf598abb5a46a0916651ba77fc9ac07c00,"publication/tables/T12_evm_boundedness.csv","C7 local Foundry measurement surface",PASS,WAITING_EXTERNAL
T6,TABLE,docs/paper_artifacts/final/tables/T6_c8_next_epoch_simulation_current_surface.csv,61b72c56d338b768903752e04a26b366a144c199b6855e27938ff0aa4578f173,"publication/tables/T13_consensus_safety.csv","C8 reproducible-simulation surface; INCONCLUSIVE",PASS,WAITING_EXTERNAL
T7,TABLE,docs/paper_artifacts/final/tables/T7_limitations_and_nonclaims.csv,403102eae70b736f76675517c2442156cd87e38ef807d357c41044fe19a6b08f,"publication/tables/claim_matrix.json|publication/tables/omissions.json|docs/paper_artifacts/final/review/SUBMISSION_READINESS_VALIDATION.md","Limitations and nonclaims",PASS,WAITING_EXTERNAL
