topic,category,mpp_status,note
"1B–3B open-weight instruct model",Primary_In_Scope,In scope,Core prototype serving target.
"Optional 7B–8B scaling run",Primary_In_Scope,In scope,Optional extension within the MPP rather than a required result.
"Objective and grounded evidence tasks",Primary_In_Scope,In scope,These define the current high-value verification classes.
"Local EVM test chain (Anvil/Foundry)",Primary_In_Scope,In scope,Current EVM boundedness evidence is local.
"Commitment plus trace plus randomized audit plus simple optimistic dispute",Primary_In_Scope,In scope,Core vertical slice for the first publication package.
"Grounded semantic verifier with calibrated ABSTAIN",Primary_In_Scope,In scope,Semantic uncertainty must fail closed.
"Erasure-coded artifact availability experiment",Primary_In_Scope,In scope,Canonical E4 is an INCONCLUSIVE declared playback simulation and not executed reconstruction evidence.
"PoI credit and next-epoch committee simulation",Primary_In_Scope,In scope,Canonical E8 is a simulation-bounded 10-row INCONCLUSIVE surface.
"Production 70B/600B/trillion-parameter deployment",Deferred_Out_Of_Scope,Deferred,Extension target rather than an MPP requirement.
"Full MoE distributed serving",Deferred_Out_Of_Scope,Deferred,Architecture discusses it but the current MPP does not claim a production implementation.
"Full per-response zkML proof",Deferred_Out_Of_Scope,Deferred,Explicitly not required on the common path.
"Production H100/B200 confidential-computing lane",Deferred_Out_Of_Scope,Deferred,Discussed architecturally but not claimed as executed MPP evidence.
"Production decentralized DA network",Deferred_Out_Of_Scope,Deferred,Current work remains below that deployment boundary.
"New production L1 consensus client",Deferred_Out_Of_Scope,Deferred,Not part of the first publication evidence package.
"Universal open-ended semantic intelligence verification",Deferred_Out_Of_Scope,Deferred,Explicitly outside the current operational claim boundary.
